ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
909,Snakes and Ladders,38.4%,Medium,0.168705777104921, https://leetcode.com/problems/snakes-and-ladders,Not Done
326,Power of Three,42.1%,Easy,0.1158592343018934, https://leetcode.com/problems/power-of-three,Not Done
54,Spiral Matrix,34.1%,Medium,0.0961990814958533, https://leetcode.com/problems/spiral-matrix,Not Done
200,Number of Islands,46.8%,Medium,0.0433525386928258, https://leetcode.com/problems/number-of-islands,Not Done
907,Sum of Subarray Minimums,32.3%,Medium,0.0390293439057352, https://leetcode.com/problems/sum-of-subarray-minimums,Not Done
394,Decode String,50.0%,Medium,0.017432167168671, https://leetcode.com/problems/decode-string,Not Done
863,All Nodes Distance K in Binary Tree,55.4%,Medium,0.0161554402222852, https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Not Done
49,Group Anagrams,56.9%,Medium,0.0144602610012586, https://leetcode.com/problems/group-anagrams,Not Done
371,Sum of Two Integers,50.7%,Medium,0.0133647161322035, https://leetcode.com/problems/sum-of-two-integers,Not Done
139,Word Break,40.1%,Medium,0.0084293839944017, https://leetcode.com/problems/word-break,Not Done
230,Kth Smallest Element in a BST,60.2%,Medium,0.0060855200738027, https://leetcode.com/problems/kth-smallest-element-in-a-bst,Not Done
347,Top K Frequent Elements,61.2%,Medium,0.0032994860743317, https://leetcode.com/problems/top-k-frequent-elements,Not Done
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0018681118827202, https://leetcode.com/problems/remove-duplicates-from-sorted-array,Not Done
440,K-th Smallest in Lexicographical Order,29.1%,Hard,0.0, https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Not Done
772,Basic Calculator III,41.3%,Hard,0.0, https://leetcode.com/problems/basic-calculator-iii,Not Done
814,Binary Tree Pruning,74.5%,Medium,0.0, https://leetcode.com/problems/binary-tree-pruning,Not Done
1063,Number of Valid Subarrays,71.1%,Hard,0.0, https://leetcode.com/problems/number-of-valid-subarrays,Not Done
