ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
221,Maximal Square,37.7%,Medium,0.1520750577196954, https://leetcode.com/problems/maximal-square,Not Done
1,Two Sum,45.6%,Easy,0.1158551535649608, https://leetcode.com/problems/two-sum,Not Done
45,Jump Game II,30.6%,Hard,0.0796352494102261, https://leetcode.com/problems/jump-game-ii,Not Done
43,Multiply Strings,33.9%,Medium,0.0760823064574395, https://leetcode.com/problems/multiply-strings,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.060904361660206, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
394,Decode String,50.0%,Medium,0.0476916619317836, https://leetcode.com/problems/decode-string,Not Done
617,Merge Two Binary Trees,74.1%,Easy,0.0177484445951958, https://leetcode.com/problems/merge-two-binary-trees,Not Done
387,First Unique Character in a String,53.4%,Easy,0.0158733491562901, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.0147863335303115, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0135298091595156, https://leetcode.com/problems/longest-palindromic-substring,Not Done
91,Decode Ways,24.7%,Medium,0.0128849313038604, https://leetcode.com/problems/decode-ways,Not Done
69,Sqrt(x),33.9%,Easy,0.0109490144896704, https://leetcode.com/problems/sqrtx,Not Done
2,Add Two Numbers,33.9%,Medium,0.0100799176180072, https://leetcode.com/problems/add-two-numbers,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0092450581440511, https://leetcode.com/problems/trapping-rain-water,Not Done
70,Climbing Stairs,47.8%,Easy,0.0091851626735177, https://leetcode.com/problems/climbing-stairs,Not Done
151,Reverse Words in a String,21.9%,Medium,0.0034304043397445, https://leetcode.com/problems/reverse-words-in-a-string,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.0021580801469849, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
