ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
811,Subdomain Visit Count,69.9%,Easy,1.538307489545883, https://leetcode.com/problems/subdomain-visit-count,Not Done
224,Basic Calculator,36.8%,Hard,1.1373983137032662, https://leetcode.com/problems/basic-calculator,Not Done
770,Basic Calculator IV,48.1%,Hard,0.9582549309731871, https://leetcode.com/problems/basic-calculator-iv,Not Done
718,Maximum Length of Repeated Subarray,49.4%,Medium,0.6258730735252086, https://leetcode.com/problems/maximum-length-of-repeated-subarray,Not Done
68,Text Justification,27.7%,Hard,0.2249638976825916, https://leetcode.com/problems/text-justification,Not Done
228,Summary Ranges,39.5%,Medium,0.1207191114343526, https://leetcode.com/problems/summary-ranges,Not Done
362,Design Hit Counter,63.7%,Medium,0.0978775753095706, https://leetcode.com/problems/design-hit-counter,Not Done
85,Maximal Rectangle,37.7%,Hard,0.0805588367172521, https://leetcode.com/problems/maximal-rectangle,Not Done
346,Moving Average from Data Stream,70.9%,Easy,0.0688740290125112, https://leetcode.com/problems/moving-average-from-data-stream,Not Done
1197,Minimum Knight Moves,36.1%,Medium,0.0656212053584729, https://leetcode.com/problems/minimum-knight-moves,Not Done
829,Consecutive Numbers Sum,37.5%,Hard,0.0534172374969858, https://leetcode.com/problems/consecutive-numbers-sum,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0387176353507079, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
563,Binary Tree Tilt,48.7%,Easy,0.0304437514147231, https://leetcode.com/problems/binary-tree-tilt,Not Done
349,Intersection of Two Arrays,62.5%,Easy,0.0286912274824953, https://leetcode.com/problems/intersection-of-two-arrays,Not Done
227,Basic Calculator II,36.9%,Medium,0.027685557859864, https://leetcode.com/problems/basic-calculator-ii,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0161082713853282, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.0140121113321347, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
724,Find Pivot Index,44.0%,Easy,0.013850636933899, https://leetcode.com/problems/find-pivot-index,Not Done
1143,Longest Common Subsequence,58.4%,Medium,0.0088359311343622, https://leetcode.com/problems/longest-common-subsequence,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.007077170374085, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
1,Two Sum,45.6%,Easy,0.0051178232035212, https://leetcode.com/problems/two-sum,Not Done
560,Subarray Sum Equals K,43.9%,Medium,0.004279454482267, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
88,Merge Sorted Array,39.4%,Easy,0.0030102370714243, https://leetcode.com/problems/merge-sorted-array,Not Done
